Dificultad,Branch and Bound,Movimientos BB,Operaciones BB,Contador
1,0.0021038055419921875,0,0,1
1,0.0018949508666992188,0,0,2
1,0.0013301372528076172,0,0,3
1,0.0019059181213378906,0,0,4
1,0.0009648799896240234,0,0,5
1,0.003386974334716797,0,0,6
1,0.003777027130126953,0,0,7
1,0.0035200119018554688,0,0,8
1,0.0010509490966796875,0,0,9
1,0.0015878677368164062,0,0,10
1,0.0014541149139404297,0,0,11
1,0.002624034881591797,0,0,12
1,0.002122163772583008,0,0,13
1,0.0012459754943847656,0,0,14
1,0.0015478134155273438,0,0,15
1,0.0019237995147705078,0,0,16
1,0.0026149749755859375,0,0,17
1,0.0029528141021728516,0,0,18
1,0.0027036666870117188,0,0,19
1,0.0013382434844970703,0,0,20
1,0.0016329288482666016,0,0,21
1,0.001268148422241211,0,0,22
1,0.003042936325073242,0,0,23
1,0.0019600391387939453,0,0,24
1,0.002184152603149414,0,0,25
1,0.00479578971862793,0,0,26
1,0.007709980010986328,0,0,27
1,0.0016841888427734375,0,0,28
1,0.0009639263153076172,0,0,29
1,0.0005333423614501953,0,0,30
1,0.0016939640045166016,0,0,31
1,0.0009262561798095703,0,0,32
1,0.001767873764038086,0,0,33
1,0.0013790130615234375,0,0,34
1,0.0019309520721435547,0,0,35
1,0.0007219314575195312,0,0,36
1,0.0010249614715576172,0,0,37
1,0.0010509490966796875,0,0,38
1,0.0016071796417236328,0,0,39
1,0.0010449886322021484,0,0,40
1,0.0011570453643798828,0,0,41
1,0.0011420249938964844,0,0,42
1,0.0016448497772216797,0,0,43
1,0.0011339187622070312,0,0,44
1,0.0007970333099365234,0,0,45
1,0.0017218589782714844,0,0,46
1,0.0011560916900634766,0,0,47
1,0.0009670257568359375,0,0,48
1,0.0014498233795166016,0,0,49
1,0.0008151531219482422,0,0,50
1,0.00048160552978515625,0,0,51
1,0.0016069412231445312,0,0,52
1,0.0006721019744873047,0,0,53
1,0.0007088184356689453,0,0,54
1,0.0005838871002197266,0,0,55
1,0.001135110855102539,0,0,56
1,0.0011782646179199219,0,0,57
1,0.0013270378112792969,0,0,58
1,0.001008749008178711,0,0,59
1,0.0015668869018554688,0,0,60
1,0.0019347667694091797,0,0,61
1,0.0019979476928710938,0,0,62
1,0.001544952392578125,0,0,63
1,0.0010082721710205078,0,0,64
1,0.000946044921875,0,0,65
1,0.0008220672607421875,0,0,66
1,0.0009341239929199219,0,0,67
1,0.001150369644165039,0,0,68
1,0.0012111663818359375,0,0,69
1,0.0013530254364013672,0,0,70
1,0.0007238388061523438,0,0,71
1,0.0008509159088134766,0,0,72
1,0.0007379055023193359,0,0,73
1,0.0012679100036621094,0,0,74
1,0.0010008811950683594,0,0,75
1,0.0009002685546875,0,0,76
1,0.0007498264312744141,0,0,77
1,0.0008749961853027344,0,0,78
1,0.0007581710815429688,0,0,79
1,0.0013918876647949219,0,0,80
1,0.0008411407470703125,0,0,81
1,0.0011448860168457031,0,0,82
1,0.0008301734924316406,0,0,83
1,0.0009000301361083984,0,0,84
1,0.0011057853698730469,0,0,85
1,0.0009119510650634766,0,0,86
1,0.0012578964233398438,0,0,87
1,0.0006809234619140625,0,0,88
1,0.0019359588623046875,0,0,89
1,0.0009551048278808594,0,0,90
1,0.0006482601165771484,0,0,91
1,0.0012450218200683594,0,0,92
1,0.0007710456848144531,0,0,93
1,0.0011839866638183594,0,0,94
1,0.0011682510375976562,0,0,95
1,0.001983165740966797,0,0,96
1,0.0006039142608642578,0,0,97
1,0.0007920265197753906,0,0,98
1,0.001474142074584961,0,0,99
1,0.0015690326690673828,0,0,100
2,0.0023221969604492188,0,0,1
2,0.0023088455200195312,0,0,2
2,0.002187967300415039,0,0,3
2,0.004495143890380859,0,0,4
2,0.0027000904083251953,0,0,5
2,0.0030531883239746094,0,0,6
2,0.0019421577453613281,0,0,7
2,0.0029382705688476562,0,0,8
2,0.004999876022338867,0,0,9
2,0.005237102508544922,0,0,10
2,0.001828908920288086,0,0,11
2,0.0032949447631835938,0,0,12
2,0.0017499923706054688,0,0,13
2,0.0034918785095214844,0,0,14
2,0.0017311573028564453,0,0,15
2,0.002827167510986328,0,0,16
2,0.003568887710571289,0,0,17
2,0.004914283752441406,0,0,18
2,0.003064870834350586,0,0,19
2,0.002516031265258789,0,0,20
2,0.002824068069458008,0,0,21
2,0.0025568008422851562,0,0,22
2,0.0019369125366210938,0,0,23
2,0.002135038375854492,0,0,24
2,0.002790212631225586,0,0,25
2,0.0020689964294433594,0,0,26
2,0.001979351043701172,0,0,27
2,0.0047609806060791016,0,0,28
2,0.002596139907836914,0,0,29
2,0.0055539608001708984,0,0,30
2,0.0029370784759521484,0,0,31
2,0.0019571781158447266,0,0,32
2,0.0017590522766113281,0,0,33
2,0.0017778873443603516,0,0,34
2,0.002134084701538086,0,0,35
2,0.0016629695892333984,0,0,36
2,0.001756906509399414,0,0,37
2,0.0015799999237060547,0,0,38
2,0.0019299983978271484,0,0,39
2,0.0028061866760253906,0,0,40
2,0.0019390583038330078,0,0,41
2,0.0016088485717773438,0,0,42
2,0.0023963451385498047,0,0,43
2,0.002805948257446289,0,0,44
2,0.0033059120178222656,0,0,45
2,0.007677316665649414,0,0,46
2,0.0018818378448486328,0,0,47
2,0.0023190975189208984,0,0,48
2,0.0024938583374023438,0,0,49
2,0.004616737365722656,0,0,50
2,0.002540111541748047,0,0,51
2,0.0016651153564453125,0,0,52
2,0.0012049674987792969,0,0,53
2,0.0017910003662109375,0,0,54
2,0.0020842552185058594,0,0,55
2,0.0016467571258544922,0,0,56
2,0.0016319751739501953,0,0,57
2,0.0014450550079345703,0,0,58
2,0.0016162395477294922,0,0,59
2,0.011287689208984375,0,0,60
2,0.0013430118560791016,0,0,61
2,0.0018281936645507812,0,0,62
2,0.0016100406646728516,0,0,63
2,0.0017459392547607422,0,0,64
2,0.001934051513671875,0,0,65
2,0.002727031707763672,0,0,66
2,0.0020890235900878906,0,0,67
2,0.03694796562194824,0,0,68
2,0.0014111995697021484,0,0,69
2,0.0024518966674804688,0,0,70
2,0.0058591365814208984,0,0,71
2,0.002110004425048828,0,0,72
2,0.0013256072998046875,0,0,73
2,0.003731250762939453,0,0,74
2,0.00217437744140625,0,0,75
2,0.001439809799194336,0,0,76
2,0.0034770965576171875,0,0,77
2,0.002076387405395508,0,0,78
2,0.0020122528076171875,0,0,79
2,0.0018360614776611328,0,0,80
2,0.0017192363739013672,0,0,81
2,0.0011959075927734375,0,0,82
2,0.0012180805206298828,0,0,83
2,0.002526998519897461,0,0,84
2,0.001783132553100586,0,0,85
2,0.0017461776733398438,0,0,86
2,0.00273895263671875,0,0,87
2,0.002357959747314453,0,0,88
2,0.0020809173583984375,0,0,89
2,0.00189208984375,0,0,90
2,0.0021677017211914062,0,0,91
2,0.0026788711547851562,0,0,92
2,0.0015721321105957031,0,0,93
2,0.0015878677368164062,0,0,94
2,0.0016100406646728516,0,0,95
2,0.0019168853759765625,0,0,96
2,0.0014390945434570312,0,0,97
2,0.001979827880859375,0,0,98
2,0.0017631053924560547,0,0,99
2,0.0022199153900146484,0,0,100
3,0.0032248497009277344,0,0,1
3,0.0029799938201904297,0,0,2
3,0.004618167877197266,0,0,3
3,0.0035238265991210938,0,0,4
3,0.0039479732513427734,0,0,5
3,0.0038878917694091797,0,0,6
3,0.0028252601623535156,0,0,7
3,0.0036249160766601562,0,0,8
3,0.0024781227111816406,0,0,9
3,0.003952741622924805,0,0,10
3,0.003181934356689453,0,0,11
3,0.01137995719909668,0,0,12
3,0.0024535655975341797,0,0,13
3,0.002576112747192383,0,0,14
3,0.005347013473510742,0,0,15
3,0.005554914474487305,0,0,16
3,0.0034568309783935547,0,0,17
3,0.0037288665771484375,0,0,18
3,0.005158901214599609,0,0,19
3,0.003518819808959961,0,0,20
3,0.003143787384033203,0,0,21
3,0.002788066864013672,0,0,22
3,0.0029129981994628906,0,0,23
3,0.003041982650756836,0,0,24
3,0.0025908946990966797,0,0,25
3,0.002557992935180664,0,0,26
3,0.0035521984100341797,0,0,27
3,0.0035359859466552734,0,0,28
3,0.002875089645385742,0,0,29
3,0.0023670196533203125,0,0,30
3,0.0038018226623535156,0,0,31
3,0.0029828548431396484,0,0,32
3,0.0030972957611083984,0,0,33
3,0.0035419464111328125,0,0,34
3,0.0036547183990478516,0,0,35
3,0.0037992000579833984,0,0,36
3,0.0030143260955810547,0,0,37
3,0.003545045852661133,0,0,38
3,0.003708362579345703,0,0,39
3,0.0037119388580322266,0,0,40
3,0.003325939178466797,0,0,41
3,0.04132485389709473,0,0,42
3,0.0026090145111083984,0,0,43
3,0.0033109188079833984,0,0,44
3,0.003242969512939453,0,0,45
3,0.003039121627807617,0,0,46
3,0.004602193832397461,0,0,47
3,0.003340005874633789,0,0,48
3,0.0039310455322265625,0,0,49
3,0.002544879913330078,0,0,50
3,0.0030031204223632812,0,0,51
3,0.0028159618377685547,0,0,52
3,0.006803989410400391,0,0,53
3,0.0032749176025390625,0,0,54
3,0.0038979053497314453,0,0,55
3,0.0023040771484375,0,0,56
3,0.003186941146850586,0,0,57
3,0.0033919811248779297,0,0,58
3,0.0024559497833251953,0,0,59
3,0.16215109825134277,0,0,60
3,0.002887248992919922,0,0,61
3,0.002457141876220703,0,0,62
3,0.0028238296508789062,0,0,63
3,0.005442142486572266,0,0,64
3,0.008533954620361328,0,0,65
3,0.004844188690185547,0,0,66
3,0.003738880157470703,0,0,67
3,0.002360820770263672,0,0,68
3,0.0039942264556884766,0,0,69
3,0.002241849899291992,0,0,70
3,0.0031890869140625,0,0,71
3,0.002405881881713867,0,0,72
3,0.0036361217498779297,0,0,73
3,0.003496885299682617,0,0,74
3,0.003423929214477539,0,0,75
3,0.00397181510925293,0,0,76
3,0.002966642379760742,0,0,77
3,0.0036230087280273438,0,0,78
3,0.0044879913330078125,0,0,79
3,0.003619670867919922,0,0,80
3,0.003715991973876953,0,0,81
3,0.0033910274505615234,0,0,82
3,0.0028700828552246094,0,0,83
3,0.0029020309448242188,0,0,84
3,0.0038442611694335938,0,0,85
3,0.0026521682739257812,0,0,86
3,0.0036880970001220703,0,0,87
3,0.0033562183380126953,0,0,88
3,0.008768796920776367,0,0,89
3,0.0032770633697509766,0,0,90
3,0.0029501914978027344,0,0,91
3,0.0031070709228515625,0,0,92
3,0.0028769969940185547,0,0,93
3,0.0028378963470458984,0,0,94
3,0.002925872802734375,0,0,95
3,0.003412008285522461,0,0,96
3,0.0032961368560791016,0,0,97
3,0.003522157669067383,0,0,98
3,0.003484010696411133,0,0,99
3,0.003257274627685547,0,0,100
